id;uuid;first_name;last_name;gender;asma;rankId;rankName;specialtyId;specialtyName;mobileNumber;org;lattitude;longitude;absence1;absence2;absence3;absence4;absence5;absence6;absence7;absence8;absence9;absence10;absence11;absence12;absence13;absence14;absence15;absence16;absence17;absence18;absence19;absence20;absence21;absence22;absence23;absence24;absence25;absence26;absence27;absence28;absence29;absence30;absence31;dob;id_no;id_issue;id_expiration;passport;social_security;email;landline_no;street_address
18;ea383cc4-2e0c-423f-8d41-c17a99af3033;Χρυσόστομος;Ανδρέου;Άρρεν;4937;6;Ανθ. Α';1;Ι;99422225;350;34,88346547;33,03094303;9;4;;;8;6;2;;9;9;9;5;6;10;2;10;7;10;;7;10;;;;1;0;2;2;7;8;3;03/03/1996;400917;13/7/19;21/5/29;68734;729381;dcominoh@blogspot.com;23248230;2622 Magdeline Plaza
19;b0f97385-b013-415a-be01-2260ccf59671;Άντρη;Δημοσθένους;Θήλυ;5949;8;Ανθ. Γ';11;ΤΕΑ;99606906;370;34,84431024;32,89564321;2;8;;;3;7;6;;3;2;7;4;0;3;10;7;4;10;2;0;5;4;8;9;;8;;6;;1;1;01/02/1999;267345;19/10/17;28/8/27;73551;571954;troycei@pagesperso-orange.fr;26362655;133 Delladonna Junction
20;f553cf51-d428-4b74-9ed8-6fd0980d8b1f;Σίμος;Παπαδημητρίου;Άρρεν;8099;6;Ανθ. Α';1;Ι;99549725;350;34,68883319;33,24496439;;;;;6;1;8;;6;2;4;1;5;8;;7;0;7;;2;7;10;;9;10;10;9;1;;0;0;29/11/1988;174440;1/1/13;10/11/22;25923;596447;mcharlewoodj@sphinn.com;25619444;11430 Miller Street
21;facedbb6-77a7-4252-b356-8051478c6aee;Λεωνίδας;Βαττής;Άρρεν;5704;7;Ανθ. Β';5;ΤΜΜ;99974225;350;35,08612982;32,90191286;;;;;6;3;;;2;3;6;3;5;;7;6;;4;5;1;10;7;4;9;8;6;5;3;;4;1;24/05/1996;805678;30/1/10;9/12/19;10805;158377;ehostank@huffingtonpost.com;25390811;86 Hagan Terrace
22;75d01cb7-7495-4e3d-bf38-2f3d557ce92e;Παρασκευάς;Βαττής;Άρρεν;4396;2;Επγός;1;Ι;99944181;350;34,74518866;33,28537866;;;;;7;1;9;;7;;7;1;0;2;3;4;1;9;10;6;7;4;10;3;10;2;4;6;3;8;3;17/02/1987;190092;22/6/13;1/5/23;16684;378384;ncantrelll@weibo.com;24547439;77401 Westridge Avenue
23;879caa82-59dc-429e-bf0c-804b399ba674;Τρύφωνας;Παπαδημητρίου;Άρρεν;9856;5;Ανθσγός;9;ΣΛ;99294912;350;35,0914932;33,38729718;;;;;;10;6;5;5;1;1;6;5;7;5;10;5;3;;;;;;;;;0;3;4;10;2;04/03/1994;725854;25/10/19;2/9/29;77763;228636;nhegdonnem@wikispaces.com;23394319;06 Gulseth Road
24;c4ccef64-701c-4cbc-b627-8bb7bbba3bfa;Άγγελος;Φκιαράς;Άρρεν;2185;3;Σγός;5;ΤΜΜ;99662622;360;34,91229983;32,83268507;;;;;5;;0;6;;0;10;;8;6;5;;3;6;;;;;;;;;2;10;4;;4;22/06/1998;393997;6/9/16;16/7/26;76952;950149;kalchinn@live.com;22275542;23 Annamark Plaza
25;ef9f242e-c8ba-474e-9c1e-1b2cfcff9ea7;Παυλίνα;Οικονόμου;Άρρεν;4260;2;Επγός;4;ΜΑΕ;99285247;360;34,99379247;33,23210457;;;;;0;10;4;0;10;;0;3;;;9;3;;2;;;;;;;;;6;4;3;0;;26/09/1981;136443;1/7/19;9/5/29;29011;398903;cshobrooko@skyrock.com;24603183;6 Rigney Circle
26;22be8a7f-ba19-4106-b387-d70fbcd46ba9;Σεραφείμ;Κατσαράς;Άρρεν;8936;5;Ανθσγός;2;ΜΑ;99423575;370;34,74447737;33,46090625;;;;;10;8;7;4;5;7;5;10;1;5;1;5;2;1;1;5;7;9;10;0;1;3;8;4;3;3;2;05/04/1976;101099;5/5/15;13/3/25;28388;718931;abarliep@surveymonkey.com;24271373;33208 Grim Point
27;296759b9-5001-4d15-8f20-c43cf01049c6;Γαβριήλ;Καλλινίκου;Άρρεν;5874;10;Εσμίας;4;ΜΑΕ;99712832;350;34,97041948;33,12058855;;;;;5;6;;5;;4;6;;2;0;10;4;7;10;;3;2;3;;3;0;6;5;4;3;4;7;08/08/1974;765112;21/7/18;29/5/28;50695;509099;hgrzegoreckiq@theatlantic.com;22737849;57 Fieldstone Park
28;757e4bf4-61dc-4a61-89ee-8fb274649f43;Χρυσόστομος;Παπαναστασίου;Άρρεν;2379;7;Ανθ. Β';8;ΥΠΛ;99999990;350;35,17608713;32,87787027;;;;;2;5;3;2;6;0;;10;5;6;10;;0;4;8;0;;1;2;;5;8;5;10;4;5;9;19/01/1978;568037;8/12/10;16/10/20;12310;667301;dlomathr@sina.com.cn;26316971;1 Goodland Drive
29;6f67f82e-7663-4cc5-8d16-49e6f705c9c2;Μάριος;Μαυρομμάτης;Άρρεν;4716;4;Υπσγός;3;ΜΗ;99967596;370;35,01466779;32,98941473;;;;;1;1;0;3;7;2;8;3;5;7;5;3;0;7;2;1;5;0;7;6;6;4;7;6;3;5;5;29/02/1976;826678;4/3/12;11/1/22;71574;563797;dwolfendens@webnode.com;25738616;320 Lunder Alley
30;b62e81c5-812b-471b-90f1-9411e332f553;Κωνσταντίνος;Χαραλάμπους;Άρρεν;5236;1;Ασμχος;8;ΥΠΛ;99314116;360;34,68326331;33,27558431;;;;;5;2;7;7;4;0;2;6;4;7;7;7;;;;10;9;4;8;5;1;4;3;0;1;5;;23/07/1997;482323;25/4/17;4/3/27;38284;595732;rbaskervillet@ovh.net;24291721;302 Nancy Terrace
31;d0ab5457-b5bc-4e3a-895a-65ddd23c3cd2;Προκόπιος;Γαβριήλ;Άρρεν;5992;3;Σγός;11;ΤΕΑ;99129362;350;34,75917643;32,99281857;;;;;2;8;9;;4;;;9;;;;7;;;;7;1;;;;6;7;5;5;9;2;7;11/10/1974;121182;11/7/12;20/5/22;66546;437795;gdixonu@ucla.edu;24456067;570 Orin Road
32;d11d6f17-b23b-42c0-bd5f-ae125a5767f7;Νεόφυτος;Πετρίδης;Άρρεν;4205;4;Υπσγός;6;ΤΤΗ;99333551;350;34,865136;32,79377445;;;;6;10;4;1;6;2;;;6;7;4;1;3;3;8;0;8;3;;;;;9;10;;;2;10;17/11/1982;133317;16/2/10;26/12/19;69449;608001;skopecv@deliciousdays.com;22307982;09 Novick Plaza
33;6b2b7de3-88a6-428c-9620-1ea8c57d5349;Βαλεντίνος;Καλλινίκου;Άρρεν;1630;2;Επγός;7;ΤΟΠ;99839555;350;34,93449863;32,80708479;;;;9;9;6;6;5;2;;;6;0;10;10;9;9;5;4;0;1;9;1;2;10;;7;;;3;4;26/05/1975;663651;27/7/16;5/6/26;62667;349163;hmogridgew@imageshack.us;25594410;4 Claremont Parkway
34;d4bc4a04-2d98-435a-9ce6-f4cd48183eaa;Ευάγγελος;Παπαγεωργίου;Άρρεν;3910;2;Επγός;4;ΜΑΕ;99116389;350;34,94425186;33,22901453;;;;6;10;10;8;3;10;;;;;2;8;3;5;4;7;10;10;3;;;8;8;4;;;0;3;23/04/1990;702924;31/8/18;9/7/28;54603;663568;bdaceyx@hhs.gov;24393545;9683 Eastwood Street
35;950355a4-f331-4e18-b986-2c0c52f2863f;Ελευθέριος;Μυριάνθους;Άρρεν;1842;5;Ανθσγός;12;ΤΜΣ;99583311;360;35,17111583;32,77335442;;;;2;0;3;5;7;4;;;8;1;7;7;9;10;6;8;;8;8;;;3;3;4;;;1;0;31/12/1991;395884;7/1/15;15/11/24;16262;219285;lbagnaly@nps.gov;25141969;2064 Southridge Trail
36;4d9026cb-cd04-4bc4-b15f-41f7f7b2b050;Όμηρος;Παντελίδης;Άρρεν;8334;3;Σγός;8;ΥΠΛ;99228725;370;34,86805156;32,99605448;;;;4;1;6;9;5;10;;;5;8;0;8;3;1;6;8;;0;2;4;4;9;7;4;5;;1;;08/07/1983;413599;22/2/11;31/12/20;79738;930451;acastaignetz@jigsy.com;25928996;2111 8th Point
37;2bfc8039-3d5b-449f-8b74-b69a644fd425;Σταμάτης;Παπανεοφύτου;Άρρεν;5688;3;Σγός;5;ΤΜΜ;99907153;350;34,91858522;33,32690424;;;;3;;10;5;1;5;;;8;3;;;3;9;;;1;0;10;4;1;3;;;;;6;8;03/09/1985;123971;29/4/18;7/3/28;77864;154330;sminchin10@a8.net;23355573;3825 Susan Trail
38;80eb7061-6542-43ac-a0a4-11bc87aa0531;Βασίλειος;Παντελίδης;Άρρεν;3078;2;Επγός;5;ΤΜΜ;99287368;360;35,14368783;32,97771963;;;;8;;7;2;2;8;7;7;5;10;;;7;;3;2;5;4;7;5;1;3;0;;;;8;7;02/03/1990;779404;25/7/14;2/6/24;65720;501321;pibarra11@adobe.com;24576018;77575 Loeprich Crossing
39;7415083a-4a42-4290-b68d-2bca71ed4e01;Ευάγγελος;Βασιλείου;Άρρεν;7635;4;Υπσγός;5;ΤΜΜ;99907860;360;35,07152965;33,13090025;;;;4;;7;5;5;5;10;4;9;9;9;5;2;7;;;7;;8;7;10;2;1;9;;;3;10;22/08/1972;542425;6/1/17;15/11/26;70593;998528;eburtwell12@sohu.com;25187843;70 Orin Alley
40;34e99310-a896-4c15-bc18-788cd6a4fe42;Δημήτριος;Παρασκευαϊδης;Άρρεν;7543;1;Ασμχος;12;ΤΜΣ;99556104;370;34,83609531;33,02407358;;;;10;;7;6;6;5;9;0;2;3;9;1;8;6;;;0;0;8;;;0;4;4;;;0;7;07/11/1970;315615;12/9/12;22/7/22;54744;739894;mquarrington13@phpbb.com;25581133;947 Blackbird Junction
41;3abe22fe-fcb1-4dc6-9ba7-6756a3a14b99;Εμμανουήλ;Βαττής;Άρρεν;7914;10;Εσμίας;5;ΤΜΜ;99331297;350;34,7731073;33,17653585;;;;9;;3;6;0;3;0;2;7;0;9;0;4;8;2;3;;0;6;;;5;5;6;;;8;6;16/05/1990;325796;12/4/12;19/2/22;30206;647714;eringe14@salon.com;24431543;36745 Birchwood Park
42;eb520f36-6939-42cf-b51c-8d5b1f64cc8c;Χαραλαμπία;Νεοφύτου;Άρρεν;6336;3;Σγός;7;ΤΟΠ;99425798;370;34,93340078;32,8070586;;;;5;;8;;;9;7;0;7;;;;0;8;9;0;2;3;9;0;3;0;9;1;;;1;8;18/10/1989;446625;16/10/19;24/8/29;62484;871483;vhamshar15@ox.ac.uk;26312666;4428 Pleasure Center
43;5acaf215-dc62-4420-b24a-2ff5fe76088d;Προκόπιος;Κυριακίδης;Άρρεν;4904;3;Σγός;7;ΤΟΠ;99283568;370;35,22432321;33,13574156;;;;9;;8;;;9;3;6;9;6;6;4;6;5;1;5;8;3;;6;10;8;8;5;;;3;7;09/01/1996;494781;9/11/17;18/9/27;10260;592438;cglavin16@wordpress.org;23937606;77 Donald Hill
44;70bd03ae-2f72-435c-82d5-9783ef6558ab;Γεώργιος;Θεοχάρους;Άρρεν;7909;10;Εσμίας;10;ΕΑ;99275100;350;34,91667412;33,20395302;;;;10;;10;;;2;6;1;3;2;9;5;0;10;8;8;;1;;5;1;0;0;6;;;8;10;07/09/1972;792488;29/10/10;6/9/20;29290;173652;lgiraudeau17@cnbc.com;25666063;76 Eastlawn Court
45;5fd2eafb-a328-4f3b-9d72-f0dd3a73a5db;Μιχαήλ;Χριστοδούλου;Άρρεν;2989;5;Ανθσγός;11;ΤΕΑ;99660952;370;34,89251073;33,31329514;;;;4;;5;;;8;8;1;6;1;1;2;;9;1;3;8;2;0;2;6;1;9;5;;;1;1;03/04/1993;623729;2/1/13;11/11/22;33933;947756;aullyott18@surveymonkey.com;23367637;66866 Laurel Alley
46;0684c5c9-7413-41ed-acbf-a0934626741b;Σωτήρης;Πολυδώρου;Άρρεν;5378;9;Ασμίας;11;ΤΕΑ;99467094;350;34,73645181;33,28876029;;;;7;;5;5;5;6;10;8;5;8;10;9;6;8;2;1;4;8;2;6;1;3;8;10;;;5;5;06/02/1994;709838;15/1/18;24/11/27;36309;827943;nbeenham19@goo.ne.jp;24746106;0 Carey Way
47;e3f0fca3-345d-4b95-bb6d-de3c5de477b6;Ειρήνη;φκιαράς;Άρρεν;9183;10;Εσμίας;5;ΤΜΜ;99916262;350;34,97727174;32,81943154;7;2;;6;;8;5;5;8;0;10;1;3;8;7;9;8;5;3;4;9;2;1;5;4;4;0;;;10;10;16/09/1975;408675;22/5/12;31/3/22;58761;723333;kmoar1a@bbb.org;26334624;2 Delaware Court
48;dc017b85-845d-4d38-8b4d-363460e8f0bb;Αθανάσιος;Μαυρομμάτης;Άρρεν;5453;1;Ασμχος;10;ΕΑ;99184423;360;34,8825839;32,86054005;0;2;1;1;;3;4;0;7;10;4;2;1;7;;1;9;0;2;5;;9;0;7;1;4;;;;0;0;06/02/1995;795894;23/6/17;2/5/27;67743;467290;ggianulli1b@cisco.com;24611713;571 Monterey Alley
49;458a9366-c6a5-4fbf-80d6-740a4aeadeb3;Κωνσταντίνα;Βαττής;Θήλυ;1341;8;Ανθ. Γ';9;ΣΛ;99701714;370;35,02670243;33,36361779;9;0;10;4;;8;9;4;9;2;3;4;0;9;10;3;9;6;0;;0;6;3;4;10;9;;;;5;3;25/04/1983;231964;13/11/16;22/9/26;82084;355528;nharbottle1c@weebly.com;25505882;0483 Amoth Terrace
50;98083263-d9d8-48b0-90ab-945e6c5ab45d;Παντελής;Κυριακίδης;Άρρεν;9876;7;Ανθ. Β';10;ΕΑ;99541610;350;35,08252401;32,78847556;2;5;3;4;;8;1;10;3;5;4;8;6;10;8;9;2;2;4;2;2;4;1;6;8;5;7;;;5;10;03/10/1972;921729;18/3/16;25/1/26;91722;738595;ebeiderbeck1d@comsenz.com;22964101;3 Jackson Lane
51;17e92cd4-d8dd-4290-9c1d-00d14cd211de;Ειρήνη;Ευρυπίδου;Θήλυ;2766;4;Υπσγός;12;ΤΜΣ;99485583;360;34,83734325;32,76227288;4;2;3;9;;9;9;2;5;1;4;4;6;4;8;;2;0;1;1;5;;;;;3;7;;;3;0;12/03/1994;170351;24/6/11;2/5/21;12683;938961;aalford1e@hibu.com;24608301;7 Arrowood Court
52;c09cc26f-39a2-4e39-acd7-d3f0f7e7965d;Βαλεντίνος;Παύλου;Άρρεν;4380;5;Ανθσγός;4;ΜΑΕ;99500127;350;35,0732248;33,24243962;1;6;8;5;;10;10;9;8;7;8;10;4;6;10;4;2;0;3;1;2;10;;;;0;7;7;10;7;0;22/11/1983;603512;10/8/14;18/6/24;66642;815642;sbellhouse1f@multiply.com;26227706;6549 Corry Circle
53;693799aa-ef9f-4cae-aa05-78afffde90f5;Όμηρος;Μερκουρίου;Άρρεν;4204;3;Σγός;1;Ι;99229401;350;35,02400974;32,9944103;1;5;8;6;;8;1;6;1;5;0;;;7;0;8;0;10;3;9;0;2;;;;3;0;0;3;10;8;29/06/1995;728038;16/7/12;25/5/22;93155;568230;rleith1g@chicagotribune.com;22324843;6550 Bluejay Parkway
54;2d7c5dbd-5592-460b-aac2-fc4b7369dafb;Βρυώνης;Γεωργίου;Άρρεν;7686;3;Σγός;4;ΜΑΕ;99256723;370;34,9278043;33,12700559;0;8;3;4;;7;;2;7;8;5;;;0;8;10;3;9;;;;1;;;;3;;4;9;7;3;05/11/1984;437985;26/1/15;4/12/24;19200;323127;lchaulk1h@indiegogo.com;25435163;0 Sunnyside Point
55;28c74fa7-ffbf-4bf1-88d5-e101a2ecfb48;Σωτήρης;Μαυρίδης;Άρρεν;7098;3;Σγός;10;ΕΑ;99278685;370;34,86955523;33,27459197;;5;10;9;;9;;3;9;8;9;5;9;5;0;6;1;7;;;5;9;;;;10;0;2;1;4;;12/06/1973;668472;28/4/19;6/3/29;10715;912834;scale1i@answers.com;22291769;5 Cottonwood Drive
56;5c350d68-78c5-4932-a451-0f5d9a8fa614;Βασίλειος;Πέτρου;Άρρεν;3600;1;Ασμχος;1;Ι;99738793;360;35,16181799;33,36005362;;1;3;3;;9;;6;4;1;7;2;5;5;2;7;10;3;;;4;1;;;;1;7;6;7;7;5;26/10/1999;175718;18/9/18;27/7/28;93584;442757;rfettiplace1j@miitbeian.gov.cn;23751021;484 Summerview Terrace
57;a50ba6ed-0929-4153-9635-a03e5066c177;Ζήνωνας;Παπαλεοντίου;Άρρεν;3833;5;Ανθσγός;11;ΤΕΑ;99249338;360;35,19877431;32,86048622;4;7;9;2;;4;;6;4;4;1;0;1;3;9;4;7;1;;;;;;;;5;4;4;7;5;10;29/12/1991;665261;22/3/17;29/1/27;78138;897540;sduckerin1k@tumblr.com;26394618;3 John Wall Way
58;31fbd77d-0d06-4290-8a55-583cb814cec7;Παύλος;Τζιωνής;Άρρεν;4334;4;Υπσγός;5;ΤΜΜ;99213320;350;34,87330673;33,29071387;9;0;5;5;;9;;7;9;7;3;7;2;4;9;7;9;3;;;;;;;;9;;2;6;7;7;03/03/1983;755544;31/8/15;9/7/25;41277;364169;bavarne1l@topsy.com;23663470;5 Corben Terrace
59;1f6fc8d3-2d9a-4e09-9167-084a3e1f2c8d;Μαρία;Παντελίδης;Άρρεν;7012;9;Ασμίας;8;ΥΠΛ;99427221;370;34,67097909;33,05944;1;2;9;10;;7;10;9;0;5;2;1;10;;;5;6;0;;;10;6;;;;4;8;7;5;;9;04/10/1972;738454;25/2/18;4/1/28;16481;778773;gsivier1m@deviantart.com;23455184;87866 Forest Dale Trail
60;e21c2d07-8964-43d5-b794-216010df1b03;Γεωργία;Μυριάνθους;Θήλυ;8292;8;Ανθ. Γ';6;ΤΤΗ;99148439;350;34,74996472;32,69786902;4;0;7;3;;5;10;7;9;2;7;7;10;;;10;3;0;;;;9;;;;10;7;;1;3;;16/11/1971;342529;6/4/15;12/2/25;16122;464076;amaccrann1n@wiley.com;24973501;597 Almo Avenue
61;306b2998-2779-4426-a745-7f1656afee0d;Βαρβάρα;Καλλέργης;Άρρεν;5810;1;Ασμχος;2;ΜΑ;99212013;360;35,17744742;33,15091954;10;2;7;0;;8;1;4;1;6;3;9;8;3;9;10;5;2;;;6;1;;;;7;10;;7;8;4;24/09/1975;228457;12/5/19;20/3/29;86337;177423;ccheatle1o@bloomberg.com;26950482;9 International Circle
62;c793fc2c-0cc1-42ff-8d04-74582d7249a7;Αθανάσιος;Βασιλείου;Άρρεν;3070;10;Εσμίας;12;ΤΜΣ;99656916;370;35,04459224;33,11574601;6;8;5;9;;9;2;6;;;8;1;1;2;1;;;9;;;0;;;;;7;;;7;;2;11/07/1975;659747;14/10/10;22/8/20;61739;903145;ccatlin1p@nytimes.com;23958115;54370 Hanson Plaza
63;2e4867ee-3fd7-4f3d-970f-97fc1f5f64ad;Ιωάννης;Ευρυβιάδης;Άρρεν;2311;9;Ασμίας;6;ΤΤΗ;99518583;360;34,90599611;32,88451443;5;4;0;0;;3;2;9;;;6;5;1;10;6;5;5;8;;;0;1;;;;8;6;10;7;8;7;27/02/1974;352997;18/12/17;27/10/27;18617;740497;sdeverell1q@purevolume.com;25295442;9995 Manitowish Alley
64;1588c508-f81f-46b3-b77f-2e9e1c7930b6;Γεωργία;Παπαγεωργίου;Άρρεν;2316;10;Εσμίας;11;ΤΕΑ;99294164;350;35,2112714;33,02781146;2;2;4;4;;6;9;6;;;7;1;1;10;8;6;0;0;;;;6;;;;;4;8;10;10;;12/12/1972;409013;12/10/13;21/8/23;62756;676517;gledekker1r@plala.or.jp;25222883;436 Westridge Hill
65;28b3e984-7edb-4f90-a411-03cccb641f17;Νεόφυτος;Καμέρης;Θήλυ;5643;5;Ανθσγός;9;ΣΛ;99624962;350;34,90205034;33,38798994;3;7;2;0;;2;7;4;;;9;3;9;9;7;1;4;1;;;7;9;;;;6;8;2;4;8;0;16/04/1991;326544;6/10/13;15/8/23;95913;619201;bchaffin1s@blinklist.com;26130973;37 Blue Bill Park Pass
66;378edb6c-0910-45a0-a69c-0089f95b9a4f;Μαρία;Χατζηνικολάου;Άρρεν;8313;6;Ανθ. Α';1;Ι;99128137;360;34,81747638;32,78284442;1;1;10;5;;5;10;5;;;10;9;6;7;1;5;3;5;;;;0;;;;8;10;4;7;;1;24/07/1992;328747;28/9/19;6/8/29;37432;542632;cmarklow1t@google.com;22193878;02 Meadow Valley Alley
